Country,GDP,Year,Rank
Qatar,145029,2008,1
Kuwait,90071,2008,2
UAE,83881,2008,3
Norway,81923,2008,4
Luxembourg,55292,2008,5
Switzerland,54830,2008,6
Oman,50637,2008,7
Singapore,50435,2008,8
USA,50276,2008,9
Ireland,49308,2008,10
Qatar,112421,2009,1
Norway,70175,2009,2
UAE,63439,2009,3
Kuwait,62189,2009,4
Luxembourg,55244,2009,5
Switzerland,54184,2009,6
Singapore,51138,2009,7
USA,48453,2009,8
Ireland,48126,2009,9
Oman,46545,2009,10
Qatar,123057,2010,1
Norway,72578,2010,2
Kuwait,63719,2010,3
Singapore,61827,2010,4
UAE,58565,2010,5
Luxembourg,58364,2010,6
Switzerland,54377,2010,7
USA,49267,2010,8
Ireland,48910,2010,9
Australia,45398,2010,10
Qatar,155533,2011,1
Norway,80623,2011,2
Kuwait,77126,2011,3
UAE,65307,2011,4
Singapore,61672,2011,5
Switzerland,58686,2011,6
Luxembourg,54031,2011,7
USA,49675,2011,8
Ireland,48980,2011,9
Saudi Arabia,48470,2011,10
Qatar,156144,2012,1
Kuwait,82954,2012,2
Norway,81826,2012,3
UAE,66251,2012,4
Singapore,61905,2012,5
Switzerland,60777,2012,6
Luxembourg,57873,2012,7
USA,50394,2012,8
Saudi Arabia,49983,2012,9
Ireland,48120,2012,10
Qatar,148807,2013,1
Norway,79894,2013,2
Kuwait,75584,2013,3
UAE,71240,2013,4
Singapore,61755,2013,5
Switzerland,61320,2013,6
Luxembourg,56319,2013,7
Hong Kong,53707,2013,8
USA,50863,2013,9
Netherlands,48629,2013,10
Qatar,138683,2014,1
Norway,75846,2014,2
Kuwait,69228,2014,3
UAE,67250,2014,4
Singapore,67105,2014,5
Luxembourg,66750,2014,6
Switzerland,61661,2014,7
Ireland,51772,2014,8
USA,51664,2014,9
Netherlands,47747,2014,10
Qatar,139542,2015,1
Norway,76305,2015,2
UAE,69237,2015,3
Kuwait,68127,2015,4
Luxembourg,67804,2015,5
Singapore,67110,2015,6
Switzerland,61476,2015,7
Ireland,53372,2015,8
USA,52591,2015,9
Netherlands,48463,2015,10
Qatar,139783,2016,1
Norway,76397,2016,2
UAE,70284,2016,3
Luxembourg,69057,2016,4
Kuwait,67798,2016,5
Singapore,67180,2016,6
Switzerland,61844,2016,7
Ireland,55653,2016,8
USA,53015,2016,9
Netherlands,49254,2016,10
